factor,horizon,coverage,mean_ic,mean_rank_ic,rank_icir,group_spearman,inversions,g1_g10_bps,g1_bps,g2_bps,g3_bps,g4_bps,g5_bps,g6_bps,g7_bps,g8_bps,g9_bps,g10_bps
cov_coverage_decay_industry_size_neutral,1,1579.107142857143,0.002482634347140288,0.005743533939539035,1.8135954763317295,-0.09090909090909088,5,0.9419422516989236,1.6495966483115605,1.219856977524305,0.014360785561186426,-0.5567855155984277,-1.625223394429282,-1.290785431417638,-0.85820391172439,-1.2610745206315435,0.11671946239374582,2.5915389000104843
cov_coverage_decay_industry_size_neutral,5,1579.107142857143,0.004714182166273284,0.0059678630483629815,1.8642082276430354,-0.0303030303030303,5,0.1908440502762943,10.83736295182812,1.7033481362032699,-1.0248811784301433,-4.153904708027493,-7.152960535204378,-5.052953805498368,-1.7500483793797161,-7.609161794726892,3.1749923111311738,11.028207002104413
cov_coverage_decay_industry_size_neutral,10,1579.107142857143,0.0070643087765475876,0.006391997386815785,1.9767539583669862,-0.05454545454545454,5,-2.591663950708835,24.039204167165774,1.4811141475990393,-6.934418308880314,-7.769317021255262,-18.32030391284941,-8.540340448757366,-1.328048890689919,-13.090151800240056,9.014721851450565,21.44754021645694
cov_coverage_decay_industry_size_neutral,20,1579.107142857143,0.010791108984873609,0.011115779558294181,3.2650314804336853,0.29696969696969694,4,2.4001759536733913,40.20169674970659,-1.799498435168986,-19.88315540178343,-18.946076769800968,-36.01868164762345,-16.811234059818723,-0.657915318268017,-18.56847752837128,29.88146970774829,42.60187270337998
