factor,horizon,coverage,mean_rank_ic,rank_icir,long_short_bps,long_short_sharpe
cov_current_coverage,5,1698.85989010989,-0.017067675986457496,-2.251425706185429,34.66505870485683,2.4950846037603007
cov_current_coverage,20,1698.85989010989,-0.030919725250475438,-3.9128036465250493,116.1802745033213,4.231927575251787
cov_current_coverage,60,1698.85989010989,-0.044765182108679746,-6.594293797700131,271.4584254425944,7.2316206571327415
cov_current_coverage,120,1698.85989010989,-0.062281098179097834,-10.043902912128612,603.2279861282328,12.560348410387414
cov_coverage_growth,5,1698.85989010989,-0.004098481035331016,-1.079034568088256,0.19464081501158478,0.025648613969452925
cov_coverage_growth,20,1698.85989010989,-0.011676734763313141,-3.4078632325036247,13.060429856150321,0.9161068728733
cov_coverage_growth,60,1698.85989010989,0.00454588944908511,1.4715881532505535,-37.94893061878101,-1.8231328420544388
cov_coverage_growth,120,1698.85989010989,-0.0006448802402437645,-0.17343982918548884,86.91265503269362,2.4316477883846552
cov_retention,5,1698.85989010989,0.003371409093374443,0.7118947950410045,5.353560242496138,0.6998891911438154
cov_retention,20,1698.85989010989,-0.0006805648793010015,-0.14162802938636554,15.817883712935904,1.0413506271221034
cov_retention,60,1698.85989010989,0.010528745746861285,2.4662249830392673,-72.12736404027787,-3.2859426176721986
cov_retention,120,1698.85989010989,0.011682461365482467,2.7463402356532343,-106.31376187198398,-3.470824282019613
cov_new_ratio,5,1698.85989010989,-0.008717963918301342,-1.870857686228523,1.4782038532343433,0.2339915568070703
cov_new_ratio,20,1698.85989010989,-0.010156533872993652,-2.395452950859058,12.7292377809947,1.2456306064134839
cov_new_ratio,60,1698.85989010989,-0.007333107982361854,-1.8484481710746736,85.94060573062629,5.035004640064522
cov_new_ratio,120,1698.85989010989,-0.01139971728169429,-3.5367036766728046,207.1400617599221,9.479334276272459
cov_new_intensity,5,1698.85989010989,-0.010267424485677535,-2.4236805032213034,8.54195731534846,1.1601729617412813
cov_new_intensity,20,1698.85989010989,-0.015901882735044004,-4.276967140049641,25.679862288096093,2.063087536299991
cov_new_intensity,60,1698.85989010989,-0.0072010184417902615,-2.0780110673622016,54.82412154158983,2.8003546578029064
cov_new_intensity,120,1698.85989010989,-0.01686468424823477,-4.902354867214603,233.27245560238833,7.266863665739601
cov_exit_ratio,5,1698.85989010989,-0.0033714090933744455,-0.711894795041005,0.8270049657655189,0.123601271825976
cov_exit_ratio,20,1698.85989010989,0.0006805648793010069,0.14162802938636662,10.07174142665491,0.8051502782986303
cov_exit_ratio,60,1698.85989010989,-0.010528745746861298,-2.466224983039269,116.09307306669446,6.069318678531232
cov_exit_ratio,120,1698.85989010989,-0.011682461365482467,-2.746340235653234,163.966178316183,6.149345833897269
cov_stable_expansion,5,1698.85989010989,-0.010475059019794855,-1.7629826357619487,24.45901846903238,2.2908433563947437
cov_stable_expansion,20,1698.85989010989,-0.019458497994820793,-3.1025584297869053,93.37654712749172,4.224857377113418
cov_stable_expansion,60,1698.85989010989,-0.023616998211266053,-4.12942641825959,139.25890975784722,4.283694132989122
cov_stable_expansion,120,1698.85989010989,-0.03644388514866796,-6.34045270597405,395.12641213020026,8.95956632199467
cov_coverage_decay,5,1698.85989010989,0.010006052702275248,1.982228005306495,-9.474831242069866,-1.4124483036111408
cov_coverage_decay,20,1698.85989010989,0.022671314797189895,4.306117200595145,-42.23126968976588,-3.4636000778087594
cov_coverage_decay,60,1698.85989010989,0.019502124257887544,4.040401150450902,-53.03262393577514,-2.568859294179426
cov_coverage_decay,120,1698.85989010989,0.028388535359490204,5.679979129638558,-133.93109276120924,-4.305881996310828
