method,own,own,own,own,own,own,gogoal,gogoal,gogoal,gogoal,gogoal,gogoal
group,1,2,3,4,5,high-low,1,2,3,4,5,high-low
trade_date,,,,,,,,,,,,
2024-05-31,0.9193336391880108,0.9181233957544849,0.8942894477957672,0.9041835749185929,0.8965080058044815,0.9771743666164707,0.9039370469522567,0.9016592818469551,0.9085826668731994,0.9046788076172642,0.9162421256648187,1.0123050787125618
2024-06-28,0.9105002820435111,0.8985444216493681,0.8743960561141643,0.8827335673223687,0.8842192796788745,0.9731690365004013,0.9096830685853008,0.8863280307600945,0.8948733419312163,0.8804962341861916,0.892300408532077,0.9794183235687098
2024-07-31,0.8547663811846508,0.8502487147384753,0.8361558492411663,0.8429233770910449,0.8484376134093535,0.9933578492443069,0.8629538229770143,0.8447413322234643,0.8538449700277342,0.8414628200473285,0.850725939902469,0.9840962728959846
2024-08-30,1.0570830661837385,1.0476892807486593,1.029136042505859,1.0278692610067137,1.040711656252567,0.9833536769263075,1.0973426742150356,1.033594435794712,1.0446290905181943,1.0197090307785148,1.0259262935407174,0.9194705758182985
2024-09-30,1.127092835381026,1.0618513896870019,1.0344232243681293,1.0241380118304046,1.0325449934043236,0.9105103825871851,1.2052847004959417,1.0957810256022542,1.061312135782409,1.0080529209158728,0.9959709731988113,0.8021782561325398
2024-10-31,1.1632520582115047,1.096345292192248,1.0677533864107278,1.0636413083581462,1.0706407567039582,0.9148928199032897,1.266359235696184,1.1387235740381056,1.095611972707086,1.0419934080040485,1.0187462186781076,0.7798737613728909
2024-11-29,1.119340344037996,1.0777358860777602,1.0378253452752348,1.0468474260319331,1.0476783385498691,0.9298071612047447,1.1693867535764875,1.1025373792719722,1.066389985263314,1.0324654440287393,1.019049519407711,0.8398254087657419
2024-12-31,1.1158101066865191,1.0750343199656112,1.0247577152059866,1.0210567551803758,1.0179791693125677,0.9063818344051571,1.1323359274584086,1.092621736923086,1.0568475463683475,1.0235274662640683,1.002781409566996,0.8530274443814685
2025-01-27,1.2097924416150847,1.1509884183901404,1.0825013418154847,1.0703302544583626,1.0538961834941456,0.8620187649268846,1.255876576371616,1.1888812499881454,1.1248095049738587,1.070465737035743,1.0048256404432843,0.7616989897581383
2025-02-28,1.1941399385887943,1.1522223181244116,1.095756844427321,1.0902410153002975,1.074126077055383,0.8897184538502366,1.2324210524719605,1.1834759548796188,1.1339754704745224,1.0923812512020628,1.0331808520614572,0.7974193606380975
