date,method,group,return,cumulative_return
2026-05-29T00:00:00.000000000,accwt,1,0.1320985578871023,1.1320985578871023
2026-06-30T00:00:00.000000000,accwt,1,-0.2551002064158467,0.8432999820870201
2026-05-29T00:00:00.000000000,accwt,2,-0.013370174544840657,0.9866298254551593
2026-06-30T00:00:00.000000000,accwt,2,-0.12892404532829785,0.8594295171159277
2026-05-29T00:00:00.000000000,accwt,3,-0.05943126956505399,0.940568730434946
2026-06-30T00:00:00.000000000,accwt,3,-0.004412327173400249,0.9364186334671973
2026-05-29T00:00:00.000000000,accwt,4,-0.07514697280749,0.92485302719251
2026-06-30T00:00:00.000000000,accwt,4,0.08360785401618999,1.0021780040764527
2026-05-29T00:00:00.000000000,accwt,5,-0.07416763994153025,0.9258323600584697
2026-06-30T00:00:00.000000000,accwt,5,0.11875448075555022,1.0357791012438988
2026-05-29T00:00:00.000000000,equal,1,0.1287155037373967,1.1287155037373968
2026-06-30T00:00:00.000000000,equal,1,-0.2533593927044531,0.8427448291743891
2026-05-29T00:00:00.000000000,equal,2,-0.013664442940662163,0.9863355570593378
2026-06-30T00:00:00.000000000,equal,2,-0.13087761774438772,0.857246309054828
2026-05-29T00:00:00.000000000,equal,3,-0.057828550840106664,0.9421714491598934
2026-06-30T00:00:00.000000000,equal,3,-0.0029065853615307348,0.939432947417713
2026-05-29T00:00:00.000000000,equal,4,-0.0753307966387742,0.9246692033612258
2026-06-30T00:00:00.000000000,equal,4,0.08001536551898134,0.9986569476523195
2026-05-29T00:00:00.000000000,equal,5,-0.07190921228966625,0.9280907877103337
2026-06-30T00:00:00.000000000,equal,5,0.12104561684889631,1.0404321096005091
2026-05-29T00:00:00.000000000,gogoal,1,0.13334335019086643,1.1333433501908665
2026-06-30T00:00:00.000000000,gogoal,1,-0.25748703342687557,0.8415221330961438
2026-05-29T00:00:00.000000000,gogoal,2,-0.018290525503177304,0.9817094744968227
2026-06-30T00:00:00.000000000,gogoal,2,-0.11816790973558353,0.865702917927915
2026-05-29T00:00:00.000000000,gogoal,3,-0.05755968949767321,0.9424403105023268
2026-06-30T00:00:00.000000000,gogoal,3,-0.015223500737497472,0.9280930697403473
2026-05-29T00:00:00.000000000,gogoal,4,-0.07210566679620833,0.9278943332037917
2026-06-30T00:00:00.000000000,gogoal,4,0.08107504364569544,1.0031234067668826
2026-05-29T00:00:00.000000000,gogoal,5,-0.07540496736562018,0.9245950326343798
2026-06-30T00:00:00.000000000,gogoal,5,0.1237406312383173,1.0390050056123705
