trade_date,sample_size,pearson,spearman
2024-05-31,2137,0.9964006826481239,0.9193216807320206
2024-06-28,2140,0.9958058794781371,0.9159084596271072
2024-07-31,2140,0.994718762701957,0.9071958709300014
2024-08-30,2140,0.9947110234163383,0.8765655756987314
2024-09-30,2140,0.9938110461681107,0.8603240718838596
2024-10-31,2144,0.994431238542831,0.8430865439766955
2024-11-29,2148,0.9942094115687748,0.843080740956976
2024-12-31,2150,0.994546898701495,0.8354936564167477
2025-01-27,2153,0.993920968187289,0.819797886633283
2025-02-28,2154,0.9919470405902419,0.8064564641176833
2025-03-31,2153,0.9919105911908332,0.7898493792766499
