date,method,group,return
2026-05-29T00:00:00.000000000,accwt,1,0.12855775738760644
2026-05-29T00:00:00.000000000,accwt,2,-0.009018587471952961
2026-05-29T00:00:00.000000000,accwt,3,-0.060286046055085134
2026-05-29T00:00:00.000000000,accwt,4,-0.07712892168697506
2026-05-29T00:00:00.000000000,accwt,5,-0.07214170114540588
2026-05-29T00:00:00.000000000,equal,1,0.1287155037373967
2026-05-29T00:00:00.000000000,equal,2,-0.013664442940662163
2026-05-29T00:00:00.000000000,equal,3,-0.057828550840106664
2026-05-29T00:00:00.000000000,equal,4,-0.0753307966387742
2026-05-29T00:00:00.000000000,equal,5,-0.07190921228966625
2026-05-29T00:00:00.000000000,gogoal,1,0.13334335019086643
2026-05-29T00:00:00.000000000,gogoal,2,-0.018290525503177304
2026-05-29T00:00:00.000000000,gogoal,3,-0.05755968949767321
2026-05-29T00:00:00.000000000,gogoal,4,-0.07210566679620833
2026-05-29T00:00:00.000000000,gogoal,5,-0.07540496736562018
