factor,horizon,mean_ic,icir,mean_rank_ic,rank_icir,mean_g10_g1,monotonic_corr
sue0,1,0.008125535577135367,3.283571347580263,0.011695928788982726,3.933115298681052,0.0008681471200960562,0.9638807237573338
sue0,5,0.017002146618937248,6.155383157066423,0.025594317471586726,7.5871138221752545,0.0042272873019638495,0.9521598317451564
sue0,10,0.022649467205239835,7.620975774923412,0.03397200734329318,9.43634869303856,0.007787297520681944,0.9557081242683235
sue0,20,0.02982468947378483,9.210586066372628,0.04409116054774674,11.41953133039547,0.014630278474820653,0.9522454924047692
sue1,1,0.007834520240936681,2.7533471141888266,0.013572647985683525,3.3467729508152964,0.0008640881530753028,0.9819781463164569
sue1,5,0.016481440610054823,5.026209825614105,0.02942840145274209,6.09960879607476,0.0039048144615854872,0.9751160215865171
sue1,10,0.022219709380911536,6.373298285809315,0.038810017853297324,7.626382825864989,0.007331372859401835,0.9738730798618791
sue1,20,0.028779662201797642,7.459210760789282,0.05001716765665538,8.760279984275295,0.013491695594466524,0.9724522020044165
sur0,1,0.0049576229989165355,2.5799397994267577,0.011053995774787353,3.9639031405045113,0.0006653806327311254,0.9739086431051428
sur0,5,0.009848101570650332,4.7031274409489665,0.02419968584142846,8.216453876788552,0.003279876233019698,0.9709520620537291
sur0,10,0.012770218287909037,5.851008427149854,0.03188813178224006,10.338725829572553,0.006171050732036384,0.9727903609236518
sur0,20,0.017059689864582804,7.860488902689004,0.041705653136191276,12.991592532576714,0.011621364607066023,0.966027258169523
sur1,1,0.005248495916488245,2.418621556895134,0.012375897632474155,3.227140235341621,0.0006218777685305766,0.955241586157581
sur1,5,0.010652839451462231,4.440561191399911,0.024463089562437496,5.709953918131527,0.003102895880218546,0.9485637814395212
sur1,10,0.013946215752852487,5.621329453291941,0.031731348993035244,6.994186483632554,0.005917480866814644,0.9468434056906454
sur1,20,0.019215678327415654,7.468062567374539,0.040623250314439904,8.251679154541721,0.011179788651003466,0.9462583313841952
sue_combo,1,0.008226498312893524,3.064456473730876,0.013105235081466778,3.7812501185568723,0.0009131528146675902,0.966318959848849
sue_combo,5,0.017255127402974937,5.61956553627814,0.028577132117293725,7.070137354324472,0.004441289284734213,0.9578137221709194
sue_combo,10,0.023127547264304323,7.028971869353227,0.03793499545004802,8.830220926794867,0.008246180095402532,0.9625806437368337
sue_combo,20,0.030170807844901025,8.298104731908683,0.0490246074317248,10.284007957155465,0.015118430495120488,0.9638857971782739
sur_combo,1,0.0051951617891900295,2.5486913520019177,0.012245465486469619,3.7616181705918286,0.0006312549742272784,0.9789931883284003
sur_combo,5,0.0105185985005111,4.688283161379996,0.025505477677452423,7.2489088405159645,0.0031257135339841087,0.982433270568357
sur_combo,10,0.013701715741870438,5.885343205715999,0.03346143675988507,9.009251423541565,0.005872013129867559,0.9784484084209709
sur_combo,20,0.018641690054971093,7.849884777006115,0.043452959917731536,10.880862137950972,0.011089334533763233,0.9679463848196299
