factor,horizon,coverage,nonzero,mean_ic,icir,rank_ic,rank_icir,monotonicity,high_minus_low_bps,high_minus_low_sharpe,g1_bps,g2_bps,g3_bps,g4_bps,g5_bps,g6_bps,g7_bps,g8_bps,g9_bps,g10_bps
anncov,1,2512.8826739427013,1582.3287858117326,-0.0044285134199793874,-0.9429056146743595,0.0012533385557429483,0.24478553749577314,-0.5878787878787878,-2.4963812550639752,-0.7409306151602519,0.028773224798754354,0.088062276043309,0.9727825383963687,0.5646344237580612,1.276559729571353,0.3818677589857067,0.06897709302992577,-0.20560712273146997,-0.7084418915867859,-2.467608030265221
anncov,5,2512.8826739427013,1582.3287858117326,-0.009361181931253704,-1.6856967224079222,-0.0033973734927227237,-0.5425917526400028,-0.6242424242424242,-15.878028352953518,-1.7363942638495535,2.4244218258629853,-1.4147083589532963,5.751494063752687,1.0769181763960418,7.402443221933725,2.8079944935728016,0.9496291552783466,-1.5793898122136494,-3.9651962385391077,-13.453606527090534
anncov,10,2512.8826739427013,1582.3287858117326,-0.012932666242580371,-2.2332582320276284,-0.008037272553238568,-1.232331711271955,-0.6848484848484848,-35.67229777625629,-2.571925792950271,6.583508565823584,-1.7746415085522023,12.387390033554048,4.978658835120363,13.417477722926288,5.729544291191269,1.719139275806768,-3.374579292367585,-10.577708713069809,-29.08878921043272
anncov,20,2512.8826739427013,1582.3287858117326,-0.019531063461106953,-3.1504985413610154,-0.015308362556432918,-2.2274011027415885,-0.6727272727272726,-76.74389743745928,-3.54082336533937,14.848467620151343,0.6589497907172761,23.151092080486748,16.883347621646482,25.136262012465618,11.000548770311482,0.9850287477247781,-3.496473627522395,-27.271793198673407,-61.89542981730792
firstcov,1,3549.0,1570.1473396998636,0.010434729942821668,1.8778053755205226,0.003190259300543458,0.5817551151995747,0.29696969696969694,6.107367073243635,1.5238907942049575,-0.3470333589213762,-1.12127196597046,-0.9941997227551772,0.24885674406227917,-0.8658962838428531,-0.4647354060318085,-0.796390203702028,-1.2207871020915733,-0.19887641506926892,5.760333714322259
firstcov,5,3549.0,1570.1473396998636,0.009766157693054821,1.578507706204475,0.0002359651382890712,0.036648693280946235,0.07878787878787878,14.821851526593656,1.4598568739833395,1.5115763703058132,-3.805786011842384,-2.1097606568138834,2.375661436953395,-2.654850970113149,-3.356454115340649,-4.00272466482229,-3.680359296490029,-0.6107299887362965,16.33342789689947
firstcov,10,3549.0,1570.1473396998636,0.007527930295191615,1.1970601965526575,-0.0035684589257816094,-0.5421913671067187,-0.01818181818181818,16.35150201588527,1.1034942452416836,5.954312720099049,-6.105034735998495,-2.8496117522051487,7.6219391088372275,-1.4736542747104928,-4.728982920785877,-11.503700512977598,-5.382667893867852,-3.8384144743751403,22.30581473598432
firstcov,20,3549.0,1570.1473396998636,0.0019290330371196603,0.2946877905635655,-0.008742842790569376,-1.2594840481671445,-0.12727272727272726,6.235221366958329,0.28956018745928214,15.265256522673512,-9.887585711021263,0.6448553135268156,16.945651282508965,7.774709944810284,-9.81481886222982,-22.551092275368802,-7.9797557413658575,-11.89769836316565,21.500477889631842
cov_ortho_inshold,1,2453.0409276944065,2453.0409276944065,-0.004135838541091305,-0.8205777211367667,0.0016495786985574227,0.29900010091487345,-0.49090909090909085,-2.9798277127088935,-0.8083845798244771,0.30434536845392435,0.09833080868348905,1.1252947431012579,0.262451020749773,0.46579855648580204,0.761651738123727,0.6414957168747973,-0.6601236189292505,-0.3237619892885524,-2.6754823442549682
cov_ortho_inshold,5,2453.0409276944065,2453.0409276944065,-0.009503022608094634,-1.564861775475275,-0.0027293860163613236,-0.40397090092651267,-0.4424242424242424,-15.867020716326893,-1.5276389777056134,2.1638889047219747,1.681476410801921,3.1687466757923852,0.8899191488605844,2.648582945274012,4.887655009084391,4.359875391711692,-2.712061052600905,-3.3849516220411227,-13.703131811604916
cov_ortho_inshold,10,2453.0409276944065,2453.0409276944065,-0.013157785892351961,-2.0920972011367494,-0.007736615060810738,-1.1086898964869016,-0.5757575757575757,-34.99326217236396,-2.2669511156975175,5.936338778765298,4.558525569316371,7.970266003883529,1.809499991783057,4.556724813361482,11.500542736669802,7.790660024173618,-5.003616161365591,-10.062018362988942,-29.056923393598662
cov_ortho_inshold,20,2453.0409276944065,2453.0409276944065,-0.019436574211562047,-2.9365877977394717,-0.015037927283402787,-2.0429716907819913,-0.6121212121212121,-73.95482355071253,-3.123460402761304,13.93238301275332,9.123069302108732,16.035110721846575,9.218362871245779,10.009963379432177,26.572408757740682,9.354935288098048,-10.21066600108518,-24.013126794180867,-60.02244053795921
